 0.27,    0, 0
 0.27,    0, 0.785
 0.54, 0.27, 0.785
 0.54, 0.27, 1.57
 0.54, 0.54, 1.57
 0.54, 0.54, 2.355
 0.27, 0.81, 2.355
 0.27, 0.81, 3.14
    0, 0.81, 3.14
    0, 0.81,-2.3655
-0.27, 0.54,-2.3655
-0.27, 0.54,-1.577
-0.27, 0.27,-1.577
-0.27, 0.27,-0.785
    0,    0,-0.785
    0,    0, 0
 0.27,    0, 0
 0.27,    0, 0.785
 0.54, 0.27, 0.785
 0.54, 0.27, 1.57
 0.54, 0.54, 1.57
 0.54, 0.54, 2.355
 0.27, 0.81, 2.355
 0.27, 0.81, 3.14
    0, 0.81, 3.14
    0, 0.81,-2.3655
-0.27, 0.54,-2.3655
-0.27, 0.54,-1.577
-0.27, 0.27,-1.577
-0.27, 0.27,-0.785
    0,    0,-0.785
    0,    0, 0
